t,vla_S,la_S,vla_A
1,6.2923,79.5686,113.0753
2,7.7053,125.7218,113.0136
3,8.6898,170.4213,112.9519
4,8.6903,186.9372,112.8908
5,9.4523,194.531,112.8296
6,10.5234,201.2988,112.768
7,11.8895,223.2475,112.7077
8,12.8292,233.2478,112.6468
9,12.4771,262.0193,112.5861
10,12.9681,281.5147,112.5263
11,12.9692,300.1932,112.4689
12,13.4431,324.0309,112.4094
13,14.276,321.8838,112.3499
14,14.8639,334.4239,112.2898
15,15.1451,355.8644,112.2302
16,15.5679,372.1972,112.1708
17,15.9772,369.1853,112.1131
18,15.6971,369.4494,112.0529
19,16.0532,373.4553,111.9953
20,16.5864,380.4411,111.9507
21,16.9219,403.2523,111.892
22,17.0101,413.2502,111.8334
23,17.4088,427.5465,111.7769
24,17.7321,440.1089,111.7185
25,17.909,443.3044,111.6625
26,18.3422,462.5626,111.6061
27,19.0563,462.1861,111.5513
28,19.2088,463.8646,111.4944
29,19.3014,472.2501,111.4398
30,20.1016,510.1361,111.3854
31,20.1508,519.7468,111.3294
32,20.6053,536.1073,111.2718
33,20.7528,548.3155,111.2159
34,21.0484,557.5836,111.1599
35,21.4243,570.1977,111.1069
36,21.4916,581.6588,111.0483
37,21.6734,607.5168,110.9962
38,21.848,606.1654,110.9405
39,22.2547,625.3524,110.8849
40,22.7823,643.2766,110.841
41,23.0432,641.257,110.7874
42,23.2081,647.1141,110.7309
43,23.6136,641.7231,110.6799
44,23.9512,642.176,110.6275
45,24.3858,641.1804,110.5732
46,24.238,638.6492,110.5234
47,24.3217,641.2424,110.472
48,24.6404,672.0033,110.4207
49,25.3496,676.0354,110.369
50,25.2757,681.9645,110.3147
51,25.583,686.636,110.263
52,25.8191,702.9573,110.2121
53,25.9332,712.0867,110.1593
54,26.1057,727.6144,110.1085
55,26.3249,743.5682,110.0573
56,26.5818,750.6187,110.0035
57,26.6611,752.5923,109.9554
58,26.8766,760.7705,109.9052
59,27.2077,778.6858,109.8567
60,27.5402,769.7191,109.8188
61,27.743,770.1959,109.768
62,27.9748,771.5073,109.7183
63,28.223,764.2129,109.6679
64,28.5193,775.4922,109.6148
65,28.755,783.5263,109.5627
66,28.8262,799.7527,109.5154
67,29.2816,805.4619,109.4649
68,29.3055,814.165,109.4144
69,29.4918,822.9191,109.3647
70,29.7637,834.063,109.3146
71,30.1346,841.5121,109.2662
72,30.1398,851.9625,109.2226
73,30.2325,870.7094,109.175
74,30.3702,883.0475,109.1249
75,30.807,895.2526,109.074
76,31.0055,900.8716,109.0218
77,31.1168,913.7486,108.9772
78,31.4019,919.6434,108.935
79,31.6391,920.6717,108.8886
80,32.0421,919.0222,108.8535
81,32.3721,939.8708,108.8081
82,32.5205,952.0635,108.7611
83,32.7045,957.1436,108.7129
84,33.0686,960.7293,108.67
85,33.3008,980.2881,108.6248
86,33.4829,993.4946,108.5817
87,33.5061,996.9199,108.5359
88,33.8258,991.893,108.491
89,34.2789,1003.8281,108.4461
90,34.4206,1004.0169,108.398
91,34.7904,1023.7547,108.3527
92,34.8271,1022.3902,108.3099
93,35.1326,1040.0673,108.2641
94,35.2469,1036.4771,108.2182
95,35.5165,1039.7378,108.1735
96,35.9804,1057.2633,108.1325
97,36.0511,1057.1379,108.0855
98,36.0993,1061.6697,108.0385
99,36.2598,1049.1589,107.9883
100,36.5111,1065.1571,107.9549
101,36.8263,1080.0476,107.914
102,36.8951,1083.3475,107.8694
103,37.0394,1086.6896,107.8267
104,37.638,1103.5325,107.7863
105,37.7836,1110.0824,107.7487
106,37.9472,1124.8574,107.7037
107,38.3318,1137.9575,107.6641
108,38.3401,1145.684,107.6216
109,38.5239,1155.4465,107.5786
110,38.7709,1166.338,107.5353
111,38.7784,1175.9728,107.4927
112,38.8533,1184.754,107.4495
113,39.1187,1194.4045,107.4018
114,39.4112,1203.835,107.3546
115,39.5695,1206.8076,107.3104
116,39.7225,1208.9844,107.2688
117,39.8112,1219.8394,107.2243
118,40.0256,1217.3446,107.1805
119,40.1432,1220.5486,107.1371
120,40.3794,1226.8143,107.1087
121,40.5163,1239.8514,107.0637
122,40.7563,1244.8046,107.0246
123,40.8217,1260.1497,106.9847
124,41.0775,1275.8453,106.9478
125,41.4782,1277.2168,106.9062
126,41.5366,1273.5378,106.8615
127,41.7985,1273.965,106.8181
128,41.8906,1282.49,106.7742
129,41.9807,1288.3602,106.7295
130,42.0347,1294.3694,106.6916
131,42.3757,1294.7051,106.646
132,42.5332,1309.8319,106.6012
133,42.7677,1311.7649,106.5623
134,42.8207,1321.4323,106.5265
135,43.0091,1326.0275,106.4889
136,43.1846,1328.7689,106.4492
137,43.2394,1332.1769,106.4119
138,43.4034,1332.1462,106.3762
139,43.5065,1334.2926,106.336
140,43.7956,1336.1769,106.3055
141,43.8873,1345.8079,106.2704
142,44.0125,1353.8604,106.2334
143,44.161,1358.5719,106.1932
144,44.4052,1368.1067,106.1526
145,44.5607,1373.3444,106.1127
146,44.8016,1390.824,106.075
147,44.9247,1410.8514,106.0296
148,44.9855,1426.3271,105.9897
149,45.163,1446.563,105.9534
150,45.2696,1455.9749,105.9166
151,45.414,1453.5732,105.8776
152,45.5752,1452.1309,105.8394
153,45.6989,1459.88,105.7993
154,45.8332,1473.2832,105.7655
155,45.809,1475.5433,105.7299
156,46.0601,1474.1168,105.693
157,46.2461,1477.5229,105.6596
158,46.3741,1489.7368,105.6228
159,46.4903,1492.798,105.585
160,46.4989,1500.3832,105.5628
161,46.6827,1505.8982,105.5285
162,46.8123,1515.3303,105.4962
163,47.0507,1530.5426,105.4588
164,47.1397,1544.0649,105.4266
165,47.2093,1560.3248,105.3893
166,47.2715,1570.333,105.3542
167,47.4099,1583.4917,105.3158
168,47.6252,1583.2336,105.2778
169,47.9773,1587.0027,105.2447
170,48.0329,1588.2059,105.2058
171,48.0158,1601.3823,105.1671
172,48.2262,1623.4899,105.1313
173,48.3532,1619.3822,105.0953
174,48.4602,1628.3446,105.0614
175,48.5136,1636.3652,105.0208
176,48.6337,1640.7249,104.9896
177,48.8772,1648.0032,104.952
178,49.052,1668.8126,104.9163
179,49.0347,1671.9763,104.8825
180,49.3642,1687.7937,104.8556
181,49.4705,1697.3519,104.8227
182,49.5579,1705.1478,104.7868
183,49.8619,1721.0649,104.7527
184,49.8369,1728.3242,104.7173
185,50.0436,1744.8715,104.6791
186,50.3685,1753.5804,104.6379
187,50.4351,1761.2791,104.6025
188,50.6044,1768.9482,104.5661
189,50.7018,1793.5004,104.5278
190,50.775,1804.7737,104.4917
191,50.8642,1818.7041,104.4559
192,51.0147,1832.2649,104.4209
193,51.0758,1845.6499,104.3913
194,51.2102,1864.5184,104.3558
195,51.2823,1860.3053,104.3294
196,51.3414,1883.2556,104.2974
197,51.4891,1886.6683,104.2659
198,51.5644,1897.6239,104.2281
199,51.6048,1900.1676,104.1936
200,51.6813,1904.5079,104.1722
201,51.8231,1920.8922,104.1405
202,51.906,1929.8042,104.1089
203,51.9866,1924.5355,104.075
204,52.0721,1933.1619,104.0423
205,52.2516,1943.515,104.0154
206,52.3297,1949.8857,103.9812
207,52.3906,1960.2788,103.9505
208,52.7674,1968.3359,103.9161
209,52.8142,1982.4684,103.8846
210,52.9074,1990.8348,103.8514
211,53.0546,1999.313,103.8208
212,53.1847,1999.9672,103.788
213,53.3097,2004.184,103.7565
214,53.5126,2014.7576,103.7242
215,53.6458,2028.4674,103.6901
216,53.7611,2025.7302,103.6543
217,53.8517,2029.3281,103.6237
218,53.9878,2035.2279,103.5888
219,54.1827,2033.858,103.5533
220,54.1988,2038.9926,103.5336
221,54.341,2039.5428,103.501
222,54.4599,2050.3103,103.468
223,54.6526,2062.5833,103.4377
224,54.904,2072.8059,103.4071
225,55.003,2087.7158,103.377
226,55.0764,2110.5381,103.3396
227,55.226,2124.0552,103.3043
228,55.1971,2128.9995,103.2719
229,55.3967,2136.01,103.2418
230,55.5869,2138.8069,103.2068
231,55.6273,2144.144,103.1796
232,55.6891,2150.1482,103.1515
233,55.8102,2154.4673,103.1197
234,55.9967,2163.7151,103.089
235,56.1545,2155.8682,103.0527
236,56.269,2168.0754,103.0171
237,56.4347,2185.0017,102.9906
238,56.4696,2192.8945,102.9535
239,56.6021,2209.585,102.9245
240,56.6977,2205.2256,102.9001
241,56.7767,2201.2913,102.8674
242,56.8936,2192.0105,102.84
243,57.0356,2198.8147,102.8088
244,57.1164,2206.9304,102.7727
245,57.2545,2215.9692,102.7405
246,57.428,2227.6919,102.7066
247,57.5074,2239.249,102.6744
248,57.599,2249.9893,102.6399
249,57.7951,2257.4797,102.6132
250,57.8577,2267.1565,102.5814
251,57.9656,2264.5762,102.5503
252,58.0471,2280.1196,102.5211
253,58.1862,2295.1128,102.4917
254,58.2705,2298.9504,102.4665
255,58.3026,2305.7505,102.4386
256,58.5669,2307.9583,102.4066
257,58.6283,2309.1726,102.3725
258,58.8939,2325.5793,102.3402
259,58.9607,2350.1052,102.3136
260,59.0595,2349.4016,102.2975
261,59.1993,2362.4109,102.2687
262,59.3719,2363.7734,102.2368
263,59.4076,2368.0281,102.2069
264,59.4944,2366.1943,102.1758
265,59.6306,2375.6191,102.1437
266,59.7214,2388.3501,102.1105
267,59.7098,2397.0381,102.0867
268,59.9677,2413.2708,102.0581
269,60.035,2421.2717,102.0307
270,60.0336,2427.4763,101.9998
271,60.1406,2439.3594,101.9747
272,60.285,2451.2864,101.9453
273,60.4655,2456.0566,101.9142
274,60.505,2471.7766,101.8878
275,60.617,2489.4409,101.8585
276,60.797,2505.5798,101.8336
277,60.8436,2528.8916,101.8041
278,60.9806,2535.9502,101.7764
279,61.1017,2545.3521,101.7494
280,61.1732,2555.5366,101.7295
281,61.3318,2553.8774,101.7004
282,61.4507,2561.7505,101.6731
283,61.5536,2571.5981,101.6432
284,61.7534,2578.4355,101.6162
285,61.793,2579.5923,101.5835
286,61.8484,2577.7463,101.5539
287,61.965,2577.0759,101.5288
288,62.0676,2580.2871,101.4989
289,62.2452,2574.4241,101.4725
290,62.3167,2579.564,101.4401
291,62.5518,2581.748,101.4162
292,62.5725,2598.8105,101.3866
293,62.7298,2592.0186,101.3549
294,62.7557,2602.4749,101.3242
295,62.8453,2614.0176,101.2998
296,62.9007,2615.4834,101.2774
297,62.9892,2616.9624,101.2472
298,63.0722,2618.4717,101.2217
299,63.1388,2628.1882,101.1959
300,63.3003,2634.2346,101.1789
301,63.4698,2651.8184,101.1499
302,63.5324,2662.4834,101.1186
303,63.6717,2662.9978,101.091
304,63.7616,2661.8586,101.0667
305,63.7932,2662.4971,101.0398
306,63.9707,2670.6113,101.0162
307,63.9991,2674.4263,100.9907
308,64.0736,2670.364,100.9661
309,64.0906,2670.3853,100.9428
310,64.3045,2680.4353,100.9194
311,64.384,2678.1951,100.893
312,64.4662,2683.3945,100.8648
313,64.7189,2692.7871,100.8417
314,64.7711,2690.0212,100.8158
315,64.9633,2703.1028,100.7949
316,65.0594,2710.2029,100.7733
317,65.1875,2726.9851,100.7464
318,65.2924,2737.9912,100.7199
319,65.4958,2747.5776,100.6936
320,65.4702,2753.5901,100.6816
321,65.6048,2775.7351,100.657
322,65.6513,2780.9131,100.635
323,65.7492,2786.1758,100.6097
324,65.829,2790.9443,100.5815
325,66.0055,2803.6819,100.5571
326,66.1244,2810.1616,100.5249
327,66.1767,2820.3499,100.4965
328,66.1828,2826.6055,100.4725
329,66.3953,2845.1785,100.4459
330,66.4778,2845.4102,100.4241
331,66.5854,2845.7881,100.3998
332,66.6563,2848.4109,100.3758
333,66.79,2856.9487,100.3505
334,66.824,2874.7156,100.3289
335,66.9141,2887.4734,100.3042
336,67.0647,2903.8501,100.2839
337,67.1596,2906.9392,100.2605
338,67.224,2905.677,100.2324
339,67.331,2904.8989,100.2107
340,67.5653,2910.7327,100.1997
341,67.7147,2908.1489,100.1733
342,67.9037,2902.032,100.1443
343,67.9471,2919.8901,100.1171
344,68.1018,2926.96,100.0955
345,68.2,2926.792,100.0677
346,68.3827,2935.72,100.0493
347,68.5854,2950.3904,100.0239
348,68.6369,2967.7661,99.9998
349,68.8267,2973.7222,99.9801
350,68.9197,2986.0051,99.952
351,68.9107,2992.0537,99.93
352,68.9586,2999.5193,99.9024
353,69.0353,3003.0056,99.878
354,69.2214,2998.0,99.851
355,69.2509,3003.2854,99.8261
356,69.3686,3010.2056,99.8007
357,69.4495,3010.3064,99.7754
358,69.5722,3010.2205,99.7492
359,69.6522,3008.2212,99.7257
360,69.7399,3018.1692,99.7126
361,69.8842,3033.0361,99.6811
362,69.9511,3041.4089,99.6614
363,70.0668,3052.4973,99.6381
364,70.1201,3061.4775,99.6162
365,70.1565,3062.5525,99.5943
366,70.2356,3071.0354,99.563
367,70.3132,3078.6797,99.533
368,70.4674,3076.9941,99.5073
369,70.5253,3089.0474,99.4816
370,70.6163,3099.9199,99.4589
371,70.6477,3110.3103,99.4344
372,70.7859,3111.2419,99.4118
373,70.8913,3124.22,99.3916
374,70.9711,3136.886,99.367
375,71.1989,3127.811,99.3416
376,71.2253,3133.6936,99.3132
377,71.3299,3137.3872,99.2912
378,71.4149,3149.4834,99.2675
379,71.4995,3159.6587,99.2421
380,71.5875,3162.7817,99.2281
381,71.6747,3166.2576,99.2022
382,71.7627,3181.2212,99.1857
383,71.8162,3177.1206,99.1552
384,71.9913,3189.2876,99.1389
385,72.0794,3193.4673,99.1189
386,72.2053,3201.2529,99.094
387,72.2438,3203.1887,99.0697
388,72.3193,3208.1479,99.0452
389,72.3354,3218.8611,99.0247
390,72.3901,3222.231,99.0029
391,72.5293,3237.25,98.9815
392,72.6961,3258.427,98.9555
393,72.6843,3270.0928,98.9311
394,72.6664,3283.8091,98.9118
395,72.8376,3299.5664,98.8868
396,72.8477,3303.072,98.8623
397,72.962,3310.561,98.8367
398,72.9336,3326.6162,98.8161
399,73.2193,3331.0698,98.7922
400,73.1658,3339.6416,98.7825
401,73.2654,3349.5178,98.7597
402,73.3123,3369.6838,98.7341
403,73.4363,3388.6331,98.7118
404,73.6049,3392.4785,98.6873
405,73.5762,3395.2812,98.6647
406,73.6833,3410.0229,98.642
407,73.7246,3418.623,98.6139
