t,Linear,DeltaNet,VLA
1,8.5572,2.1401,1.9154
2,15.7161,1.4793,1.0787
3,22.0225,1.8925,2.1285
4,26.6087,1.5591,1.6257
5,32.631,1.7458,2.3311
6,35.6031,1.692,1.641
7,37.2954,2.1231,1.9844
8,40.4585,1.6706,1.9226
9,40.371,2.0191,1.8561
10,42.0895,1.6913,2.3418
11,41.2827,1.8324,1.8925
12,43.3425,2.3423,1.9001
13,48.852,2.2052,2.622
14,52.559,1.9751,2.2109
15,51.7959,2.1589,2.159
16,53.9331,1.6189,2.2992
17,56.8114,1.1014,2.3882
18,57.0608,1.8046,2.0926
19,57.4386,1.5893,2.6087
20,57.6705,1.8134,2.2574
21,59.9953,2.3446,2.3308
22,62.2057,2.2325,3.0002
23,63.9523,1.7013,2.4579
24,66.9635,1.8737,3.0373
25,69.5053,1.2345,2.5096
26,71.8167,1.8496,3.1606
27,74.9527,1.1767,2.6071
28,77.4249,1.9111,3.2141
29,76.7166,1.704,2.8687
30,76.6472,2.0724,2.9549
31,78.0283,1.6569,3.0598
32,77.9742,2.0514,2.9266
33,77.4799,1.6659,3.3938
34,77.2287,1.8108,3.1582
35,79.096,2.3275,3.2168
36,81.7291,2.1804,3.7771
37,83.9689,1.9448,3.3572
38,85.7516,2.0881,3.3043
39,87.5384,1.6016,3.5509
40,89.9371,1.2042,3.6909
41,91.003,1.8061,3.458
42,91.1647,1.6911,3.8523
43,92.4439,1.7971,3.7122
44,94.0934,2.3424,3.7022
45,95.4955,2.2298,4.249
46,96.8925,2.0973,3.8251
47,98.1438,1.8957,4.286
48,99.5037,2.0846,3.9618
49,100.7631,1.8961,4.1783
50,102.1473,2.2053,3.9661
51,101.4466,1.9253,3.9983
52,102.3229,1.8841,4.3427
53,104.2777,2.2068,4.5766
54,107.8668,2.1124,4.2064
55,110.5168,2.4918,4.102
56,112.6267,2.1441,4.6244
57,114.2618,1.8518,4.435
58,114.5974,1.4269,4.2864
59,117.6221,2.147,4.3043
60,119.906,2.3472,4.7127
61,118.9867,2.0293,4.2385
62,121.7454,1.9238,4.2724
63,120.1674,1.6745,4.5583
64,121.6195,2.1855,4.4792
65,123.7625,1.9935,4.5277
66,126.4512,2.1802,4.5799
67,132.4874,1.9524,4.5592
68,133.192,1.9726,4.7734
69,135.2685,2.2511,5.0412
70,133.2924,1.849,4.9576
71,135.8676,2.1833,4.8012
72,135.0284,1.724,4.8924
73,137.9551,2.3628,4.7289
74,140.4798,1.7567,5.0179
75,143.1311,2.1546,4.928
76,142.4734,1.7424,5.116
77,143.5901,2.2413,5.3172
78,146.6539,2.2289,5.0827
79,146.3465,1.8712,5.2314
80,147.3254,2.1251,5.5279
81,148.8201,1.8589,5.3728
82,152.5477,2.206,5.1553
83,152.6679,1.6101,5.2832
84,154.0693,1.0506,5.4431
85,158.7526,1.7653,5.3748
86,159.558,1.8794,5.5877
87,161.0837,2.1744,5.8765
88,160.9167,1.972,5.7733
89,164.1113,2.1927,5.7054
90,165.9587,1.6634,5.7555
91,169.1494,2.4292,5.6533
92,171.019,1.6586,5.9406
93,174.0844,2.1361,5.8473
94,174.9748,1.6775,5.9855
95,175.997,2.2114,6.2799
96,177.6242,2.0617,5.8774
97,178.8582,1.8841,6.2897
98,182.0008,1.9773,5.9776
99,184.6938,2.2933,5.9419
100,185.4402,2.1289,6.4069
101,191.5613,2.1593,6.1683
102,193.4187,2.1899,6.551
103,197.3943,2.2829,6.1855
104,200.0116,1.9532,6.1375
105,203.2832,2.1392,6.1854
106,203.9674,1.6971,6.2388
107,207.3348,2.1997,6.1572
108,211.1635,2.238,6.2123
109,215.8689,2.2963,6.2103
110,216.4715,2.0715,6.6813
111,221.0578,2.1248,6.5001
112,223.4047,2.4542,6.4784
113,225.1239,2.0729,6.7759
114,220.5561,1.6423,6.4864
115,225.9052,1.81,6.4814
116,226.4298,1.6534,6.7081
117,227.6753,2.0609,6.5944
118,228.5582,1.7616,6.5371
119,230.1859,2.1735,6.9492
120,229.2991,1.8698,6.9514
121,234.369,2.2507,6.8438
122,236.967,1.546,6.9364
123,242.9533,2.3827,6.9088
124,245.3266,1.6132,7.0668
125,250.1665,2.1018,7.0531
126,250.6993,1.6945,7.1997
127,252.3854,2.1966,7.4971
128,253.7314,2.2682,7.3297
129,253.9013,1.6941,7.4138
130,258.5232,2.2003,7.2807
131,259.5132,1.5296,7.3927
132,260.6621,2.2215,7.6419
133,261.1004,1.8497,7.5843
134,260.7632,1.473,7.4942
135,263.2299,2.0284,7.4774
136,264.2522,2.1059,7.7602
137,268.2519,2.1216,7.7236
138,273.0462,2.0327,7.5998
139,275.7822,2.331,7.5791
140,276.9147,1.7539,7.7571
141,279.9799,2.1623,7.7074
142,280.6203,1.7257,7.8535
143,280.373,1.7678,7.9783
144,281.2751,2.1526,8.1617
145,282.5953,2.1826,7.8456
146,283.8376,1.9195,7.9331
147,284.5514,1.9775,7.9703
148,290.9736,2.2162,7.8266
149,291.3683,1.8924,8.099
150,292.5554,1.803,8.1015
151,295.023,2.238,7.9668
152,295.0251,1.901,8.13
153,296.4985,2.1326,8.3953
154,294.4625,1.8214,8.1293
155,294.4272,1.6295,8.2502
156,297.5703,2.1481,8.1562
157,302.5017,1.8214,8.1619
158,303.2657,1.8772,8.3551
159,303.9291,2.2691,8.5843
160,304.1335,1.9188,8.2775
161,305.1198,1.8343,8.6435
162,302.4029,1.5368,8.45
163,306.2753,1.9097,8.4535
164,307.2137,2.3568,8.3723
165,311.2935,2.5006,8.379
166,312.662,1.9754,8.5258
167,316.966,2.0596,8.5794
168,317.2336,1.8057,8.6926
169,317.3788,1.1855,8.8561
170,322.556,1.9969,8.7047
171,321.9029,1.9083,8.8504
172,325.6938,2.031,8.8486
173,331.2392,2.1455,8.8743
174,331.7597,2.0316,8.9657
175,333.95,2.2096,9.2491
176,334.1669,2.258,9.162
177,336.8954,2.1873,9.0887
178,345.8614,1.889,9.0817
179,347.5944,2.1511,9.3534
180,353.4606,2.2231,9.2628
181,353.4879,2.1364,9.3162
182,353.9697,2.2414,9.2451
183,355.3194,2.1482,9.4289
184,358.2293,1.863,9.2525
185,363.8853,1.9948,9.3053
186,365.2615,1.8989,9.4377
187,367.6166,1.8788,9.5118
188,371.062,2.2068,9.458
189,372.1012,2.0524,9.7691
190,375.4283,2.02,9.6183
191,376.3719,2.3715,9.5983
192,377.8431,2.0452,9.9335
193,379.6657,1.6862,9.787
194,379.2056,1.4973,9.7216
195,382.0832,2.131,9.701
196,384.6252,2.1319,10.0025
197,382.5144,1.6711,9.842
198,381.7857,2.2502,9.9272
199,389.1261,2.1161,9.949
200,388.7502,1.7462,10.0662
201,389.386,1.9283,9.9856
202,391.4143,2.1423,10.3353
203,391.0143,2.0921,10.1973
204,395.3217,2.2136,10.1733
205,402.2966,2.0213,10.2325
206,404.479,2.0324,10.5549
207,404.2266,1.614,10.3149
208,405.4595,1.7647,10.5656
209,405.287,1.901,10.3233
210,406.72,1.7274,10.4377
211,407.7438,2.1328,10.6707
212,411.0999,1.9213,10.5092
213,413.1176,2.1199,10.5262
214,415.2078,2.2166,10.8095
215,415.7486,2.0077,10.7201
216,414.4285,2.067,10.7489
217,416.8777,2.278,10.6906
218,418.7729,2.3566,10.7812
219,422.4399,2.222,10.8483
220,421.9046,1.9612,10.9044
221,424.8071,2.074,10.8488
222,427.1103,2.1743,11.0996
223,427.1626,1.8296,11.0493
224,430.8858,2.0891,11.038
225,430.1786,1.9714,11.1861
226,436.2579,2.1192,11.1077
227,437.3078,1.8916,11.1908
228,440.8177,2.2062,11.2321
229,441.9019,2.1445,11.2133
230,443.9695,2.2655,11.5117
231,445.4062,1.7439,11.4535
232,448.6503,2.1834,11.3913
233,451.448,2.2703,11.6405
234,452.4726,1.8867,11.5905
235,452.9245,1.4815,11.5074
236,457.2776,2.0352,11.5493
237,459.6173,2.1381,11.8001
238,460.0283,1.9974,11.704
239,460.5582,1.7046,11.6877
240,463.9134,2.1018,11.77
241,463.4769,1.6578,11.8519
242,466.4044,2.3284,11.8312
243,466.6742,2.048,11.9051
244,473.266,1.9764,11.8972
245,474.0079,1.9567,12.0899
246,476.5021,2.2377,12.2734
247,475.7987,1.9417,12.1834
248,478.2374,2.1367,12.2075
249,478.7635,1.6139,12.1879
250,480.7827,2.4763,12.1837
251,482.9079,1.6718,12.3444
252,486.8545,2.2486,12.3545
253,487.0419,1.8618,12.4552
254,489.9361,2.3706,12.6901
255,490.1046,2.1173,12.4085
256,493.8813,1.7506,12.7002
257,489.1689,1.5191,12.5569
258,489.036,1.5511,12.5449
259,492.1435,1.9563,12.822
260,497.0434,1.9152,12.7042
261,497.5948,1.683,12.6742
262,501.5041,2.2313,12.7447
263,501.2189,1.8403,12.8116
264,504.4958,2.1669,12.7914
265,504.6928,1.8836,12.8843
266,509.7621,2.0996,12.8875
267,509.5031,1.918,13.0201
268,513.3246,1.8141,13.0649
269,516.3459,2.3291,13.0448
270,518.6326,2.0649,13.2593
271,518.4718,1.6661,13.1308
272,522.111,1.9831,13.314
273,522.0128,1.8626,13.203
274,522.8779,1.9106,13.2739
275,526.2409,2.373,13.4723
276,525.7783,1.5437,13.4169
277,530.0442,1.7575,13.4326
278,532.41,1.8589,13.396
279,535.0443,2.0811,13.6696
280,536.3363,2.073,13.465
281,536.8397,1.7968,13.5566
282,539.2581,2.1675,13.5674
283,539.7734,1.8366,13.5872
284,542.2771,2.2045,13.8425
285,543.1489,1.8487,13.7969
286,545.3843,2.1497,13.7711
287,548.4999,2.0941,13.9924
288,553.7204,1.9906,13.9375
289,556.3694,2.0978,14.1485
290,555.0839,1.8652,14.1193
291,558.0129,2.3615,14.0987
292,558.0574,1.8871,14.1358
293,560.1093,1.6658,14.0758
294,561.5559,1.7972,14.1369
295,561.2962,1.4562,14.1311
296,564.263,2.1715,14.3445
297,568.4813,2.2387,14.2652
298,569.8649,2.58,14.2827
299,571.5496,2.0558,14.4653
300,572.6271,1.8133,14.3023
301,573.7864,2.0793,14.3122
302,577.4551,2.0586,14.5286
303,577.662,1.8277,14.5145
304,578.3652,1.8462,14.4546
305,581.2231,2.0472,14.6589
306,579.868,1.6384,14.5092
307,583.7302,1.8029,14.717
308,583.9764,1.9796,14.727
309,583.4767,1.6251,14.691
310,586.9222,2.0568,14.8663
311,591.0204,2.045,14.7585
312,591.0613,2.0279,14.8589
313,594.2999,2.0367,15.0362
314,589.5026,1.4922,14.9006
315,591.9638,2.075,15.1311
316,597.3746,2.2252,15.1053
317,597.8357,1.9996,15.2026
318,597.7531,2.2252,15.131
319,601.0995,2.2434,15.3603
320,606.0521,2.2542,15.3205
321,609.8085,1.9168,15.4921
322,610.7321,1.7141,15.3725
323,614.8085,1.8679,15.4213
324,617.6508,2.3072,15.3917
325,620.2168,1.6016,15.4132
326,623.636,1.942,15.6262
327,625.3382,2.1272,15.5704
