timestep,spectral_norm,condition_number
0,1.0,8.385675
1,1.0,8.448641
2,1.0,12.935777
3,1.0000001,14.579548
4,1.0000001,14.687012
5,1.0000001,17.252287
6,1.0000001,17.286802
7,1.0000001,17.31436
8,1.0000001,17.69599
9,1.0000001,17.819416
10,1.0000001,19.092712
11,1.0000001,19.603575
12,1.0000001,20.176645
13,1.0000001,20.363049
14,1.0000001,20.805912
15,1.0000001,21.231918
16,1.0000001,23.58602
17,1.0000001,23.848478
18,1.0000001,24.516253
19,1.0000001,24.519852
20,1.0000001,24.698463
21,1.0000001,25.201294
22,1.0000001,25.240711
23,1.0000001,26.986307
24,1.0000001,27.058092
25,1.0000001,28.62613
26,1.0000001,28.65271
27,1.0000001,28.72085
28,1.0000001,28.721022
29,1.0000001,29.115477
30,1.0000001,29.653316
31,1.0000001,30.294235
32,1.0000001,30.813969
33,1.0000001,31.551851
34,1.0000001,31.678247
35,1.0000001,31.749212
36,1.0000001,32.909573
37,1.0000001,33.026176
38,1.0000001,33.144493
39,1.0000001,33.158497
40,1.0000001,33.62907
41,1.0000001,33.648533
42,1.0000001,33.67913
43,1.0000001,34.525356
44,1.0000001,34.52556
45,1.0000001,34.530792
46,1.0000001,42.998028
47,1.0000001,43.078697
48,1.0000001,43.16067
49,1.0000101,43.720028
50,1.0000101,43.761753
51,1.0000101,45.67917
52,1.0000101,45.70362
53,1.0000101,46.41154
54,1.0000101,46.756123
55,1.0000101,47.787766
56,1.0000101,48.923565
57,1.0000101,48.960674
58,1.00001,48.992023
59,1.00001,49.038868
60,1.00001,50.447067
61,1.00001,50.826378
62,1.00001,50.871048
63,1.00001,51.049385
64,1.00001,51.598877
65,1.00001,55.9701
66,1.00001,55.970863
67,1.00001,56.081226
68,1.00001,56.08632
69,1.00001,56.509224
70,1.00001,58.55877
71,1.00001,58.818417
72,1.00001,59.229256
73,1.00001,59.382374
74,1.0000099,59.38263
75,1.0000099,59.889412
76,1.0000099,60.26591
77,1.0000099,61.640583
78,1.0000099,62.83734
79,1.0000098,62.848206
80,1.0000098,63.807693
81,1.0000098,63.922306
82,1.0000098,64.61686
83,1.0000098,69.06651
84,1.0000098,69.48901
85,1.0000098,69.65849
86,1.0000098,69.76548
87,1.0000097,70.05584
88,1.0000098,70.278366
89,1.0000098,70.29432
90,1.0000097,70.64728
91,1.0000097,70.64946
92,1.0000097,70.657196
93,1.0000097,71.07209
94,1.0000097,72.91733
95,1.0000097,73.62325
96,1.0000097,73.6941
97,1.0000097,73.790405
98,1.0000097,74.260895
99,1.0000197,74.33489
100,1.0000197,74.3389
101,1.0000196,74.434135
102,1.0000196,74.687195
103,1.0000196,74.98766
104,1.0000194,75.40332
105,1.0000194,75.960434
106,1.0000193,76.24235
107,1.0000193,76.27585
108,1.0000193,79.24521
109,1.0000193,81.29295
110,1.0000193,81.7486
111,1.0000193,81.78745
112,1.0000193,81.828766
113,1.0000193,82.13721
114,1.0000193,82.17671
115,1.0000193,82.81731
116,1.0000192,83.471725
117,1.0000192,84.424194
118,1.0000192,84.426216
119,1.0000192,85.8724
120,1.0000192,86.006256
121,1.0000192,86.23962
122,1.0000191,86.38263
123,1.0000191,87.72546
124,1.0000191,88.44798
125,1.0000191,88.55753
126,1.0000191,88.5641
127,1.0000191,88.58693
