timestep,vla_survival_memory_5,delta_survival_memory_5,vla_survival_memory_20,delta_survival_memory_20,vla_survival_memory_50,delta_survival_memory_50
0,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,1.0,1.0,,,,
6,0.2654363060424594,1.024979406322072,,,,
7,0.05075343087308473,0.985074852920709,,,,
8,0.010907314436677067,1.0084585482492334,,,,
9,0.0014536306956198257,0.9883439706730144,,,,
10,0.00023369900140837307,1.0398533341646568,,,,
11,3.952891119228842e-05,1.0460135520132776,,,,
12,5.142027684501534e-06,0.8320780462155835,,,,
13,9.707107986180705e-07,1.0134945959079158,,,,
14,1.8405783775155104e-07,0.9710289415791856,,,,
15,4.960415189134722e-08,0.9723576411542336,,,,
16,1.2071225150033025e-08,1.0234389684876104,,,,
17,2.20621536748539e-09,1.1480501085504915,,,,
18,5.665557075136815e-10,1.177940878994753,,,,
19,1.8269679387370242e-10,1.0079829903990767,,,,
20,5.482800434851717e-11,0.9645248098282565,1.0,1.0,,
21,1.6230390410415762e-11,0.9356498628560895,0.29602373099787493,1.1614442210455138,,
22,5.874917673279248e-12,0.8785448331134914,0.10715176930269095,1.204271857451106,,
23,1.5438105365306778e-12,0.9022003502963277,0.028157335924856263,1.074504032699941,,
24,4.077488724371152e-13,0.9616698728136978,0.007436872402745822,0.9183474893449955,,
25,1.177440294965103e-13,1.0161229207986915,0.002147516235463615,0.812170426162959,,
26,4.075756455601613e-14,0.9441990763403632,0.0007433712942922101,0.7964053891049163,,
27,9.366828173222585e-15,0.8621447566245445,0.00017084021723062974,0.7549946140649748,,
28,3.573692888927555e-15,0.7553190923664471,6.518006503047572e-05,0.7253679250386811,,
29,1.3786913465543466e-15,0.8309467913264709,2.5145751025162626e-05,0.7189546310532161,,
30,3.607520159238487e-16,0.8959169046283447,6.579703569561077e-06,0.7429533488374483,,
31,1.3233910788799126e-16,0.8580270816807224,2.4137137483022465e-06,0.7787622138254376,,
32,3.5905885577811064e-17,0.8682643153971291,6.54882226782747e-07,0.6717191202288711,,
33,1.3063227280992183e-17,0.8511788722496688,2.3825830314660137e-07,0.6764311488343531,,
34,5.19906147826319e-18,0.7611983535634779,9.48249264229111e-08,0.6714779917951373,,
35,1.9372308898368044e-18,0.767824614727046,3.5332872550361155e-08,0.6554003927427352,,
36,4.859548265563365e-19,0.7804399137205328,8.863259429749411e-09,0.6853755353391559,,
37,1.6914807658796257e-19,0.7862786482540032,3.0850671768529767e-09,0.6666348799227015,,
38,6.572163587305263e-20,0.8115580958437917,1.1986873615769325e-09,0.6332371021985073,,
39,2.32113247221949e-20,0.848285290823048,4.2334797696904784e-10,0.6354284675626927,,
40,7.944368497214643e-21,0.8716832230581153,1.4489618200793588e-10,0.5861756115125336,,
41,3.841722391465127e-21,0.9784527661512576,7.006861615908928e-11,0.6239045629835139,,
