python scripts/run_ablations_phase_d.py --ablation 6
C:\Users\bisha\AppData\Local\Programs\Python\Python313\Lib\site-packages\torch\cuda\__init__.py:61: FutureWarning: The pynvml package is deprecated. Please install nvidia-ml-py instead. If you did not install pynvml directly, please report this to the maintainers of the package that installed pynvml for you.
  import pynvml  # type: ignore[import]
\n--- Running Ablation 6: Symbolic Penalty ---

--- Training Model: Model A (Baseline) (gamma=0.0) ---
Epoch 1 | Loss: 1.1403 | Val Acc: 51.0%
Epoch 2 | Loss: 0.7321 | Val Acc: 49.0%                                         
Epoch 3 | Loss: 0.7130 | Val Acc: 52.5%
Epoch 4 | Loss: 0.7081 | Val Acc: 51.0%
Epoch 5 | Loss: 0.7060 | Val Acc: 49.0%
Epoch 6 | Loss: 0.7007 | Val Acc: 51.7%
Epoch 7 | Loss: 0.7038 | Val Acc: 53.8%
Epoch 8 | Loss: 0.6963 | Val Acc: 48.8%
Epoch 9 | Loss: 0.6984 | Val Acc: 48.8%
Epoch 10 | Loss: 0.6924 | Val Acc: 52.0%
Epoch 11 | Loss: 0.6933 | Val Acc: 51.2%
Epoch 12 | Loss: 0.6876 | Val Acc: 53.2%
Epoch 13 | Loss: 0.6878 | Val Acc: 50.7%
Epoch 14 | Loss: 0.6807 | Val Acc: 51.5%
Epoch 15 | Loss: 0.6827 | Val Acc: 51.5%
Epoch 16 | Loss: 0.6754 | Val Acc: 50.2%
Epoch 17 | Loss: 0.6681 | Val Acc: 50.0%
Epoch 18 | Loss: 0.6571 | Val Acc: 50.5%
Epoch 19 | Loss: 0.6567 | Val Acc: 50.0%
Epoch 20 | Loss: 0.6480 | Val Acc: 48.5%
Epoch 21 | Loss: 0.6407 | Val Acc: 51.5%
Epoch 22 | Loss: 0.6277 | Val Acc: 53.0%
Epoch 23 | Loss: 0.6338 | Val Acc: 53.2%
Epoch 24 | Loss: 0.6204 | Val Acc: 49.8%
Epoch 25 | Loss: 0.6168 | Val Acc: 48.2%
Epoch 26 | Loss: 0.6018 | Val Acc: 49.8%
Epoch 27 | Loss: 0.5958 | Val Acc: 46.0%
Epoch 28 | Loss: 0.5935 | Val Acc: 49.0%
Epoch 29 | Loss: 0.5774 | Val Acc: 50.2%
Epoch 30 | Loss: 0.5693 | Val Acc: 46.2%
Epoch 31 | Loss: 0.5562 | Val Acc: 51.2%
Epoch 32 | Loss: 0.5461 | Val Acc: 50.0%
Epoch 33 | Loss: 0.5399 | Val Acc: 48.2%
Epoch 34 | Loss: 0.5268 | Val Acc: 49.5%
Epoch 35 | Loss: 0.5407 | Val Acc: 49.2%
Epoch 36 | Loss: 0.5340 | Val Acc: 48.5%
Epoch 37 | Loss: 0.5168 | Val Acc: 47.0%
Epoch 38 | Loss: 0.5018 | Val Acc: 48.5%
Epoch 39 | Loss: 0.5035 | Val Acc: 50.2%
Epoch 40 | Loss: 0.4869 | Val Acc: 50.0%
Epoch 41 | Loss: 0.4795 | Val Acc: 48.8%
Epoch 42 | Loss: 0.4792 | Val Acc: 51.7%
Epoch 43 | Loss: 0.4735 | Val Acc: 49.5%
Epoch 44 | Loss: 0.4534 | Val Acc: 49.8%
Epoch 45 | Loss: 0.4648 | Val Acc: 48.8%
Epoch 46 | Loss: 0.4591 | Val Acc: 50.5%
Epoch 47 | Loss: 0.4496 | Val Acc: 51.2%
Epoch 48 | Loss: 0.4459 | Val Acc: 50.0%
Epoch 49 | Loss: 0.4202 | Val Acc: 51.0%
Epoch 50 | Loss: 0.4382 | Val Acc: 50.0%
Epoch 51 | Loss: 0.4233 | Val Acc: 53.5%
Epoch 52 | Loss: 0.4381 | Val Acc: 51.2%
Epoch 53 | Loss: 0.3955 | Val Acc: 50.7%
Epoch 54 | Loss: 0.3949 | Val Acc: 52.0%
Epoch 55 | Loss: 0.3757 | Val Acc: 51.2%
Epoch 56 | Loss: 0.3791 | Val Acc: 50.2%
Epoch 57 | Loss: 0.4027 | Val Acc: 50.5%
Epoch 58 | Loss: 0.3675 | Val Acc: 49.8%
Epoch 59 | Loss: 0.3711 | Val Acc: 52.0%
Epoch 60 | Loss: 0.3667 | Val Acc: 50.0%
Epoch 61 | Loss: 0.3592 | Val Acc: 47.8%
Epoch 62 | Loss: 0.3662 | Val Acc: 50.2%
Epoch 63 | Loss: 0.3585 | Val Acc: 51.5%
Epoch 64 | Loss: 0.3252 | Val Acc: 50.0%
Epoch 65 | Loss: 0.3404 | Val Acc: 51.0%
Epoch 66 | Loss: 0.3060 | Val Acc: 47.2%
Epoch 67 | Loss: 0.3318 | Val Acc: 50.0%
Epoch 68 | Loss: 0.3363 | Val Acc: 52.5%
Epoch 69 | Loss: 0.3095 | Val Acc: 49.0%
Epoch 70 | Loss: 0.3258 | Val Acc: 51.7%
Epoch 71 | Loss: 0.3137 | Val Acc: 51.5%
Epoch 72 | Loss: 0.2951 | Val Acc: 51.0%
Epoch 73 | Loss: 0.3004 | Val Acc: 52.0%
Epoch 74 | Loss: 0.3018 | Val Acc: 52.2%
Epoch 75 | Loss: 0.2798 | Val Acc: 52.0%
Epoch 76 | Loss: 0.2731 | Val Acc: 52.2%
Epoch 77 | Loss: 0.2866 | Val Acc: 52.5%
Epoch 78 | Loss: 0.2827 | Val Acc: 53.5%
Epoch 79 | Loss: 0.2614 | Val Acc: 50.0%
Epoch 80 | Loss: 0.2729 | Val Acc: 48.2%
Epoch 81 | Loss: 0.2591 | Val Acc: 51.0%
Epoch 82 | Loss: 0.2530 | Val Acc: 51.0%
Epoch 83 | Loss: 0.2527 | Val Acc: 52.5%
Epoch 84 | Loss: 0.2523 | Val Acc: 51.5%
Epoch 85 | Loss: 0.2525 | Val Acc: 51.2%
Epoch 86 | Loss: 0.2473 | Val Acc: 52.8%
Epoch 87 | Loss: 0.2515 | Val Acc: 52.0%
Epoch 88 | Loss: 0.2430 | Val Acc: 52.8%
Epoch 89 | Loss: 0.2173 | Val Acc: 52.0%
Epoch 90 | Loss: 0.2341 | Val Acc: 53.0%
Epoch 91 | Loss: 0.2426 | Val Acc: 50.7%
Epoch 92 | Loss: 0.2255 | Val Acc: 51.7%
Epoch 93 | Loss: 0.2241 | Val Acc: 53.0%
Epoch 94 | Loss: 0.2100 | Val Acc: 52.0%
Epoch 95 | Loss: 0.2180 | Val Acc: 52.8%
Epoch 96 | Loss: 0.2016 | Val Acc: 51.7%
Epoch 97 | Loss: 0.2049 | Val Acc: 53.0%
Epoch 98 | Loss: 0.2073 | Val Acc: 49.2%
Epoch 99 | Loss: 0.2008 | Val Acc: 53.0%
Epoch 100 | Loss: 0.2007 | Val Acc: 53.5%

--- Training Model: Model B (Symbolic) (gamma=0.5) ---
Epoch 1 | Loss: 1.1865 | Val Acc: 51.0%
Epoch 2 | Loss: 0.7338 | Val Acc: 51.0%
Epoch 3 | Loss: 0.7167 | Val Acc: 49.0%
Epoch 4 | Loss: 0.7091 | Val Acc: 49.0%
Epoch 5 | Loss: 0.7087 | Val Acc: 49.0%
Epoch 6 | Loss: 0.7010 | Val Acc: 49.0%
Epoch 7 | Loss: 0.7018 | Val Acc: 51.0%
Epoch 8 | Loss: 0.6994 | Val Acc: 49.5%
Epoch 9 | Loss: 0.6999 | Val Acc: 51.0%
Epoch 10 | Loss: 0.7014 | Val Acc: 51.0%
Epoch 11 | Loss: 0.6999 | Val Acc: 51.0%
Epoch 12 | Loss: 0.7013 | Val Acc: 50.2%
Epoch 13 | Loss: 0.6980 | Val Acc: 51.0%
Epoch 14 | Loss: 0.7010 | Val Acc: 49.0%
Epoch 15 | Loss: 0.6980 | Val Acc: 49.2%
Epoch 16 | Loss: 0.6911 | Val Acc: 51.0%
Epoch 17 | Loss: 0.6893 | Val Acc: 46.2%
Epoch 18 | Loss: 0.6843 | Val Acc: 47.2%
Epoch 19 | Loss: 0.6820 | Val Acc: 52.2%
Epoch 20 | Loss: 0.6770 | Val Acc: 46.8%
Epoch 21 | Loss: 0.6674 | Val Acc: 54.5%
Epoch 22 | Loss: 0.6469 | Val Acc: 58.2%
Epoch 23 | Loss: 0.6290 | Val Acc: 60.0%
Epoch 24 | Loss: 0.5978 | Val Acc: 64.0%
Epoch 25 | Loss: 0.5853 | Val Acc: 69.8%
Epoch 26 | Loss: 0.5650 | Val Acc: 65.0%
Epoch 27 | Loss: 0.5516 | Val Acc: 69.5%
Epoch 28 | Loss: 0.5324 | Val Acc: 71.2%
Epoch 29 | Loss: 0.5283 | Val Acc: 70.0%
Epoch 30 | Loss: 0.5165 | Val Acc: 72.5%
Epoch 31 | Loss: 0.5097 | Val Acc: 70.0%
Epoch 32 | Loss: 0.4762 | Val Acc: 71.0%
Epoch 33 | Loss: 0.4874 | Val Acc: 67.5%
Epoch 34 | Loss: 0.4782 | Val Acc: 69.5%
Epoch 35 | Loss: 0.4470 | Val Acc: 69.8%
Epoch 36 | Loss: 0.4574 | Val Acc: 69.8%
Epoch 37 | Loss: 0.4218 | Val Acc: 71.2%
Epoch 38 | Loss: 0.4223 | Val Acc: 74.2%
Epoch 39 | Loss: 0.4119 | Val Acc: 72.0%
Epoch 40 | Loss: 0.4087 | Val Acc: 72.5%
Epoch 41 | Loss: 0.3700 | Val Acc: 67.8%
Epoch 42 | Loss: 0.3765 | Val Acc: 67.8%
Epoch 43 | Loss: 0.3711 | Val Acc: 73.2%
Epoch 44 | Loss: 0.3492 | Val Acc: 73.5%
Epoch 45 | Loss: 0.3314 | Val Acc: 69.5%
Epoch 46 | Loss: 0.3334 | Val Acc: 71.2%
Epoch 47 | Loss: 0.3224 | Val Acc: 72.5%
Epoch 48 | Loss: 0.3058 | Val Acc: 72.2%
Epoch 49 | Loss: 0.3144 | Val Acc: 72.0%
Epoch 50 | Loss: 0.3115 | Val Acc: 71.0%
Epoch 51 | Loss: 0.3063 | Val Acc: 73.0%
Epoch 52 | Loss: 0.2782 | Val Acc: 73.2%
Epoch 53 | Loss: 0.2637 | Val Acc: 72.5%
Epoch 54 | Loss: 0.2841 | Val Acc: 72.5%
Epoch 55 | Loss: 0.2852 | Val Acc: 74.5%
Epoch 56 | Loss: 0.2586 | Val Acc: 70.5%
Epoch 57 | Loss: 0.2429 | Val Acc: 75.2%
Epoch 58 | Loss: 0.2566 | Val Acc: 73.2%
Epoch 59 | Loss: 0.2132 | Val Acc: 73.2%
Epoch 60 | Loss: 0.2227 | Val Acc: 74.8%
Epoch 61 | Loss: 0.2208 | Val Acc: 73.8%
Epoch 62 | Loss: 0.2228 | Val Acc: 74.5%
Epoch 63 | Loss: 0.2084 | Val Acc: 75.2%
Epoch 64 | Loss: 0.2167 | Val Acc: 76.5%
Epoch 65 | Loss: 0.2147 | Val Acc: 73.5%
Epoch 66 | Loss: 0.2089 | Val Acc: 72.2%
Epoch 67 | Loss: 0.2036 | Val Acc: 71.8%
Epoch 68 | Loss: 0.1792 | Val Acc: 71.5%
Epoch 69 | Loss: 0.1944 | Val Acc: 73.0%
Epoch 70 | Loss: 0.1918 | Val Acc: 72.5%
Epoch 71 | Loss: 0.1883 | Val Acc: 73.8%
Epoch 72 | Loss: 0.1660 | Val Acc: 75.0%
Epoch 73 | Loss: 0.1651 | Val Acc: 77.0%
Epoch 74 | Loss: 0.1733 | Val Acc: 74.8%
Epoch 75 | Loss: 0.1488 | Val Acc: 74.0%
Epoch 76 | Loss: 0.1632 | Val Acc: 73.5%
Epoch 77 | Loss: 0.1700 | Val Acc: 75.2%
Epoch 78 | Loss: 0.1732 | Val Acc: 74.0%
Epoch 79 | Loss: 0.1720 | Val Acc: 76.0%
