============================================================
🚀 Starting Phase C1: Associative Key-Value Recall Task
============================================================
📦 Config: D_model=64, Layers=2, Pairs=15
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 001/100: 100% 94/94 [00:23<00:00,  4.07it/s, Loss=4.7254, A_kappa=3.8e+01, S_norm=25.8, Mem(MB)=21]
Epoch 002/100: 100% 94/94 [00:21<00:00,  4.42it/s, Loss=4.6258, A_kappa=7.5e+01, S_norm=131.1, Mem(MB)=21]
Epoch 003/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.5948, A_kappa=7.2e+01, S_norm=101.2, Mem(MB)=21]
Epoch 004/100: 100% 94/94 [00:21<00:00,  4.33it/s, Loss=4.6227, A_kappa=5.9e+01, S_norm=48.2, Mem(MB)=21]
Epoch 005/100: 100% 94/94 [00:21<00:00,  4.33it/s, Loss=4.6220, A_kappa=8.0e+01, S_norm=46.2, Mem(MB)=21]
Epoch 006/100: 100% 94/94 [00:21<00:00,  4.38it/s, Loss=4.6038, A_kappa=7.5e+01, S_norm=62.0, Mem(MB)=21]
Epoch 007/100: 100% 94/94 [00:21<00:00,  4.39it/s, Loss=4.6377, A_kappa=5.5e+01, S_norm=38.1, Mem(MB)=21]
Epoch 008/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.5787, A_kappa=8.3e+01, S_norm=83.1, Mem(MB)=21]
Epoch 009/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.5952, A_kappa=7.3e+01, S_norm=39.9, Mem(MB)=21]
Epoch 010/100: 100% 94/94 [00:21<00:00,  4.33it/s, Loss=4.6089, A_kappa=1.0e+02, S_norm=76.5, Mem(MB)=21]
Epoch 011/100: 100% 94/94 [00:21<00:00,  4.43it/s, Loss=4.6337, A_kappa=8.4e+01, S_norm=103.4, Mem(MB)=21]
Epoch 012/100: 100% 94/94 [00:21<00:00,  4.27it/s, Loss=4.6095, A_kappa=9.3e+01, S_norm=123.9, Mem(MB)=21]
Epoch 013/100: 100% 94/94 [00:22<00:00,  4.13it/s, Loss=4.6097, A_kappa=1.6e+02, S_norm=159.7, Mem(MB)=21]
Epoch 014/100: 100% 94/94 [00:22<00:00,  4.17it/s, Loss=4.6156, A_kappa=1.2e+02, S_norm=104.5, Mem(MB)=21]
Epoch 015/100: 100% 94/94 [00:22<00:00,  4.14it/s, Loss=4.5946, A_kappa=1.1e+02, S_norm=55.5, Mem(MB)=21]
Epoch 016/100: 100% 94/94 [00:21<00:00,  4.31it/s, Loss=4.5911, A_kappa=1.5e+02, S_norm=241.8, Mem(MB)=21]
Epoch 017/100: 100% 94/94 [00:21<00:00,  4.33it/s, Loss=4.5958, A_kappa=8.9e+01, S_norm=127.6, Mem(MB)=21]
Epoch 018/100: 100% 94/94 [00:21<00:00,  4.28it/s, Loss=4.6062, A_kappa=1.1e+02, S_norm=180.6, Mem(MB)=21]
Epoch 019/100: 100% 94/94 [00:21<00:00,  4.28it/s, Loss=4.6001, A_kappa=2.1e+02, S_norm=243.1, Mem(MB)=21]
Epoch 020/100: 100% 94/94 [00:22<00:00,  4.26it/s, Loss=4.5989, A_kappa=1.3e+02, S_norm=192.7, Mem(MB)=21]
Epoch 021/100: 100% 94/94 [00:21<00:00,  4.29it/s, Loss=4.6063, A_kappa=2.1e+02, S_norm=217.9, Mem(MB)=21]
Epoch 022/100: 100% 94/94 [00:22<00:00,  4.19it/s, Loss=4.6054, A_kappa=1.2e+02, S_norm=165.2, Mem(MB)=21]
