============================================================
🚀 Starting Phase C1: Copy / Identity Task
============================================================
📦 Config: D_model=64, Layers=2, SeqLen=200
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 001/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0467, A_kappa=1.4e+02, S_norm=23.7, Mem(MB)=20]
Epoch 002/100: 100% 63/63 [01:10<00:00,  1.12s/it, Loss=0.0129, A_kappa=1.4e+02, S_norm=14.3, Mem(MB)=20]
Epoch 003/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0071, A_kappa=9.6e+01, S_norm=15.5, Mem(MB)=20]
Epoch 004/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0043, A_kappa=1.0e+02, S_norm=15.0, Mem(MB)=20]
Epoch 005/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0031, A_kappa=1.4e+02, S_norm=15.9, Mem(MB)=20]
Epoch 006/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0024, A_kappa=1.3e+02, S_norm=16.6, Mem(MB)=20]
Epoch 007/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0018, A_kappa=1.2e+02, S_norm=15.7, Mem(MB)=20]
Epoch 008/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0015, A_kappa=1.1e+02, S_norm=14.9, Mem(MB)=20]
Epoch 009/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0012, A_kappa=1.1e+02, S_norm=16.4, Mem(MB)=20]
Epoch 010/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0010, A_kappa=9.6e+01, S_norm=14.5, Mem(MB)=20]
Epoch 011/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0009, A_kappa=1.1e+02, S_norm=14.3, Mem(MB)=20]
Epoch 012/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0007, A_kappa=1.1e+02, S_norm=15.1, Mem(MB)=20]
Epoch 013/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0007, A_kappa=1.0e+02, S_norm=14.3, Mem(MB)=20]
Epoch 014/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0006, A_kappa=8.6e+01, S_norm=13.9, Mem(MB)=20]
Epoch 015/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0005, A_kappa=1.2e+02, S_norm=13.0, Mem(MB)=20]
Epoch 016/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0005, A_kappa=1.2e+02, S_norm=11.0, Mem(MB)=20]
Epoch 017/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0004, A_kappa=1.2e+02, S_norm=14.6, Mem(MB)=20]
Epoch 018/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0004, A_kappa=1.0e+02, S_norm=13.8, Mem(MB)=20]
Epoch 019/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0003, A_kappa=1.1e+02, S_norm=13.3, Mem(MB)=20]
Epoch 020/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0003, A_kappa=9.6e+01, S_norm=13.2, Mem(MB)=20]
Epoch 021/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0003, A_kappa=1.0e+02, S_norm=13.4, Mem(MB)=20]
Epoch 022/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0003, A_kappa=1.0e+02, S_norm=13.1, Mem(MB)=20]
Epoch 023/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0002, A_kappa=1.1e+02, S_norm=13.8, Mem(MB)=20]
Epoch 024/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0002, A_kappa=9.5e+01, S_norm=14.6, Mem(MB)=20]
Epoch 025/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0002, A_kappa=1.0e+02, S_norm=13.6, Mem(MB)=20]
Epoch 026/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0002, A_kappa=1.0e+02, S_norm=14.0, Mem(MB)=20]
Epoch 027/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0002, A_kappa=8.8e+01, S_norm=12.9, Mem(MB)=20]
