============================================================
🚀 Starting Phase C1: Delayed Recall Task (Delay = 5)
============================================================
📦 Config: D_model=64, Layers=2, SeqLen=200
🔄 Epochs: 100, Batch Size: 32
------------------------------------------------------------
Epoch 001/100: 100% 63/63 [01:14<00:00,  1.18s/it, Loss=2.9532, A_kappa=2.5e+02, S_norm=229.8, Mem(MB)=21]
Epoch 002/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=2.9328, A_kappa=1.8e+02, S_norm=168.4, Mem(MB)=21]
Epoch 003/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=2.7399, A_kappa=1.2e+02, S_norm=267.9, Mem(MB)=21]
Epoch 004/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=2.1231, A_kappa=8.5e+01, S_norm=313.3, Mem(MB)=21]
Epoch 005/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=1.5075, A_kappa=8.3e+01, S_norm=332.1, Mem(MB)=21]
Epoch 006/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=1.0332, A_kappa=9.6e+01, S_norm=279.5, Mem(MB)=21]
Epoch 007/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.5088, A_kappa=1.1e+02, S_norm=300.6, Mem(MB)=21]
Epoch 008/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.3391, A_kappa=1.0e+02, S_norm=314.1, Mem(MB)=21]
Epoch 009/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.2510, A_kappa=9.9e+01, S_norm=347.2, Mem(MB)=21]
Epoch 010/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.2013, A_kappa=9.6e+01, S_norm=361.3, Mem(MB)=21]
Epoch 011/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.1639, A_kappa=1.1e+02, S_norm=372.8, Mem(MB)=21]
Epoch 012/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.1298, A_kappa=9.6e+01, S_norm=372.0, Mem(MB)=21]
Epoch 013/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.1104, A_kappa=9.9e+01, S_norm=386.2, Mem(MB)=21]
Epoch 014/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.1004, A_kappa=1.0e+02, S_norm=370.7, Mem(MB)=21]
Epoch 015/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0686, A_kappa=9.9e+01, S_norm=435.3, Mem(MB)=21]
Epoch 016/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0814, A_kappa=1.0e+02, S_norm=427.3, Mem(MB)=21]
Epoch 017/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0696, A_kappa=1.0e+02, S_norm=451.7, Mem(MB)=21]
Epoch 018/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0628, A_kappa=1.1e+02, S_norm=411.4, Mem(MB)=21]
Epoch 019/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0508, A_kappa=9.7e+01, S_norm=478.2, Mem(MB)=21]
Epoch 020/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0517, A_kappa=1.1e+02, S_norm=458.8, Mem(MB)=21]
Epoch 021/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0381, A_kappa=1.0e+02, S_norm=457.0, Mem(MB)=21]
Epoch 022/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0378, A_kappa=1.1e+02, S_norm=510.5, Mem(MB)=21]
Epoch 023/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0290, A_kappa=1.1e+02, S_norm=477.7, Mem(MB)=21]
Epoch 024/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0366, A_kappa=1.1e+02, S_norm=524.8, Mem(MB)=21]
Epoch 025/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0360, A_kappa=1.1e+02, S_norm=462.8, Mem(MB)=21]
Epoch 026/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0312, A_kappa=1.0e+02, S_norm=477.1, Mem(MB)=21]
Epoch 027/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0425, A_kappa=1.1e+02, S_norm=495.7, Mem(MB)=21]
Epoch 028/100: 100% 63/63 [01:11<00:00,  1.13s/it, Loss=0.0282, A_kappa=1.0e+02, S_norm=465.2, Mem(MB)=21]
Epoch 029/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0257, A_kappa=1.0e+02, S_norm=517.2, Mem(MB)=21]
Epoch 030/100: 100% 63/63 [01:11<00:00,  1.14s/it, Loss=0.0265, A_kappa=1.0e+02, S_norm=519.1, Mem(MB)=21]
Epoch 031/100: 100% 63/63 [01:12<00:00,  1.14s/it, Loss=0.0220, A_kappa=1.0e+02, S_norm=517.8, Mem(MB)=21]
Epoch 032/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0189, A_kappa=1.1e+02, S_norm=526.4, Mem(MB)=21]
Epoch 033/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0226, A_kappa=1.1e+02, S_norm=488.3, Mem(MB)=21]
Epoch 034/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0262, A_kappa=1.0e+02, S_norm=508.4, Mem(MB)=21]
Epoch 035/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0298, A_kappa=1.0e+02, S_norm=526.9, Mem(MB)=21]
Epoch 036/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0201, A_kappa=1.1e+02, S_norm=519.0, Mem(MB)=21]
Epoch 037/100: 100% 63/63 [01:12<00:00,  1.15s/it, Loss=0.0217, A_kappa=1.1e+02, S_norm=555.6, Mem(MB)=21]
