Epoch,Loss_A,Loss_B,ValAcc_A,ValAcc_B
0,1.1403459074005249,1.1303889335147919,0.51,0.51
1,0.7308070546104795,0.7356528365422809,0.51,0.49
2,0.7212802777214656,0.7172083457310995,0.51,0.51
3,0.7065890828768412,0.710891466292124,0.51,0.51
4,0.7058935023489452,0.7034168754305158,0.51,0.51
5,0.700187017047216,0.702138674637628,0.4925,0.49
6,0.7062931410850041,0.7001287227585202,0.51,0.51
7,0.698543007411654,0.6986856848474533,0.5,0.49
8,0.6981899851844424,0.6975794756223285,0.51,0.5125
9,0.7014215702102298,0.6940355707728674,0.4825,0.545
10,0.6918572906463866,0.690972574173458,0.525,0.4925
11,0.6948885567604549,0.6904031539720202,0.495,0.505
12,0.6941530628809853,0.6866953372955322,0.54,0.5375
13,0.6894574893845452,0.679035034444597,0.495,0.54
14,0.6860183761233375,0.6776020782334464,0.52,0.4925
15,0.6811778630529132,0.6803706505941967,0.5325,0.495
16,0.6713851482149155,0.670099793918549,0.5125,0.515
17,0.6704536089821468,0.6638097914438399,0.5075,0.52
18,0.6623106494782462,0.6618743567239671,0.5075,0.4975
19,0.6633731826903329,0.656908771348378,0.5175,0.5125
20,0.6523366031192598,0.6489607507274264,0.5125,0.505
21,0.6443112397950793,0.6465971025209578,0.5125,0.4875
22,0.638743781854236,0.6336123735185654,0.5175,0.52
23,0.626195510228475,0.640430023745885,0.52,0.53
24,0.6273889134800623,0.6249041869526818,0.5425,0.52
25,0.612317907431769,0.6104245469683692,0.525,0.5025
26,0.6084998164858136,0.6171898690481035,0.51,0.4875
27,0.6083012525997464,0.6101619781009735,0.535,0.4675
28,0.5897722641626993,0.6005628591492063,0.5025,0.53
29,0.5907073106084552,0.5942281744782887,0.5025,0.51
30,0.5837512598151252,0.5788531677117423,0.5225,0.5
31,0.5820280233072856,0.5737056013137575,0.515,0.4875
32,0.5670078004163409,0.5611019645418439,0.5275,0.515
33,0.5579476540996915,0.5481803421936338,0.535,0.465
34,0.5466806983190869,0.5510854252747127,0.5025,0.49
35,0.5405839180189466,0.5505491017349182,0.495,0.45
36,0.5382262146662152,0.5412683302447909,0.505,0.485
37,0.5219758635475522,0.5382536725392417,0.5025,0.5225
38,0.5097368780582671,0.5244655618591915,0.5525,0.4825
39,0.4995005140228877,0.51370636622111,0.5125,0.4975
40,0.511551801174406,0.4971921600046612,0.5225,0.5025
41,0.4933640706160712,0.5009802712334527,0.525,0.5125
42,0.47179974071563235,0.4944070851992047,0.4975,0.4925
43,0.47830612933824934,0.4823698590672205,0.54,0.4925
44,0.46337587398196023,0.5076624396301451,0.5425,0.5075
45,0.4632061261033255,0.46471060363073197,0.52,0.4925
46,0.46248064580417814,0.4484845470814478,0.54,0.49
47,0.45082550767868285,0.4634283383687337,0.5375,0.53
48,0.45052110202728757,0.4531364315558994,0.555,0.4825
49,0.45341589195387705,0.45600392799528816,0.565,0.49
50,0.4474352390047104,0.4471507429603546,0.57,0.4825
51,0.41872023992122165,0.44219855562088983,0.5175,0.5275
52,0.4311292029562451,0.41322687008078135,0.5675,0.4975
53,0.4078424014742412,0.41043152908484143,0.585,0.51
54,0.39439528210768626,0.4020982812794428,0.585,0.525
55,0.3978834951680804,0.40908883109925287,0.595,0.495
56,0.3814724161038323,0.41452059197047403,0.555,0.4975
57,0.3878780837569918,0.4103487713469399,0.5725,0.5475
58,0.3708350488117763,0.38996588474228266,0.575,0.5075
59,0.3643023944090283,0.373037961503816,0.58,0.5025
60,0.36655517182652914,0.37906076463442,0.59,0.525
61,0.35655092720001463,0.39443655335713945,0.595,0.5125
62,0.35213210421895225,0.34203252054396127,0.595,0.52
63,0.33890836248322137,0.3533208417514014,0.625,0.5075
64,0.33950585079571555,0.3269040331480995,0.6125,0.52
65,0.30976679187918466,0.3612914215477686,0.6,0.53
66,0.34078804722854067,0.3465559097036483,0.6275,0.52
67,0.33941097533892073,0.33016691274113125,0.5875,0.5125
68,0.3288195540034582,0.3251575654934323,0.6125,0.525
69,0.286562066939142,0.3234421092839468,0.6225,0.55
70,0.308007504258837,0.3216017839454469,0.6025,0.5575
71,0.3022235423799545,0.32408466201926034,0.6225,0.5375
72,0.296081075237857,0.3083740716415738,0.6225,0.5225
73,0.2816471772061454,0.28828065534905783,0.6025,0.535
74,0.2915196344256401,0.2937446591399965,0.58,0.5425
75,0.290595411308228,0.29069833362859393,0.6375,0.5425
76,0.27327924091664574,0.2969987602934005,0.6175,0.5325
77,0.2500259597150106,0.2924058719996422,0.6225,0.5375
78,0.26271934606253156,0.277463465692505,0.6325,0.5375
79,0.239766019381701,0.25273749102202675,0.6325,0.5625
80,0.2626160806606686,0.27339078048391946,0.64,0.55
81,0.24662232694644776,0.246459955142604,0.6275,0.54
82,0.2719848948338675,0.2654425966597739,0.615,0.56
83,0.26504259107131806,0.22310246893810848,0.61,0.555
84,0.24265125535783313,0.24248782722722917,0.6125,0.5575
85,0.23811340355683888,0.2233644842155396,0.6175,0.565
86,0.23277440874112976,0.23230491188310443,0.5975,0.5575
87,0.23801072343947396,0.2272401268756579,0.61,0.595
88,0.21727146468465292,0.24069411555926004,0.58,0.5725
89,0.21103816633186642,0.2305764222428912,0.5925,0.565
90,0.22613958801542008,0.2210358145927626,0.6,0.5675
91,0.2345765314641453,0.23908934162722695,0.6375,0.595
92,0.2122812204890781,0.215018083297071,0.6375,0.5825
