--- Training Model: Model A (Baseline) (gamma=0.0) ---
Epoch 1 | Loss: 1.1403 | Val Acc: 51.0%
Epoch 2 | Loss: 0.7308 | Val Acc: 51.0%
Epoch 3 | Loss: 0.7213 | Val Acc: 51.0%
Epoch 4 | Loss: 0.7066 | Val Acc: 51.0%
Epoch 5 | Loss: 0.7059 | Val Acc: 51.0%
Epoch 6 | Loss: 0.7002 | Val Acc: 49.2%
Epoch 7 | Loss: 0.7063 | Val Acc: 51.0%
Epoch 8 | Loss: 0.6985 | Val Acc: 50.0%
Epoch 9 | Loss: 0.6982 | Val Acc: 51.0%
Epoch 10 | Loss: 0.7014 | Val Acc: 48.2%
Epoch 11 | Loss: 0.6919 | Val Acc: 52.5%
Epoch 12 | Loss: 0.6949 | Val Acc: 49.5%
Epoch 13 | Loss: 0.6942 | Val Acc: 54.0%
Epoch 14 | Loss: 0.6895 | Val Acc: 49.5%
Epoch 15 | Loss: 0.6860 | Val Acc: 52.0%
Epoch 16 | Loss: 0.6812 | Val Acc: 53.2%
Epoch 17 | Loss: 0.6714 | Val Acc: 51.2%
Epoch 18 | Loss: 0.6705 | Val Acc: 50.7%
Epoch 19 | Loss: 0.6623 | Val Acc: 50.7%
Epoch 20 | Loss: 0.6634 | Val Acc: 51.7%
Epoch 21 | Loss: 0.6523 | Val Acc: 51.2%
Epoch 22 | Loss: 0.6443 | Val Acc: 51.2%
Epoch 23 | Loss: 0.6387 | Val Acc: 51.7%
Epoch 24 | Loss: 0.6262 | Val Acc: 52.0%
Epoch 25 | Loss: 0.6274 | Val Acc: 54.2%
Epoch 26 | Loss: 0.6123 | Val Acc: 52.5%
Epoch 27 | Loss: 0.6085 | Val Acc: 51.0%
Epoch 28 | Loss: 0.6083 | Val Acc: 53.5%
Epoch 29 | Loss: 0.5898 | Val Acc: 50.2%
Epoch 30 | Loss: 0.5907 | Val Acc: 50.2%
Epoch 31 | Loss: 0.5838 | Val Acc: 52.2%
Epoch 32 | Loss: 0.5820 | Val Acc: 51.5%
Epoch 33 | Loss: 0.5670 | Val Acc: 52.8%
Epoch 34 | Loss: 0.5579 | Val Acc: 53.5%
Epoch 35 | Loss: 0.5467 | Val Acc: 50.2%
Epoch 36 | Loss: 0.5406 | Val Acc: 49.5%
Epoch 37 | Loss: 0.5382 | Val Acc: 50.5%
Epoch 38 | Loss: 0.5220 | Val Acc: 50.2%
Epoch 39 | Loss: 0.5097 | Val Acc: 55.2%
Epoch 40 | Loss: 0.4995 | Val Acc: 51.2%
Epoch 41 | Loss: 0.5116 | Val Acc: 52.2%
Epoch 42 | Loss: 0.4934 | Val Acc: 52.5%
Epoch 43 | Loss: 0.4718 | Val Acc: 49.8%
Epoch 44 | Loss: 0.4783 | Val Acc: 54.0%
Epoch 45 | Loss: 0.4634 | Val Acc: 54.2%
Epoch 46 | Loss: 0.4632 | Val Acc: 52.0%
Epoch 47 | Loss: 0.4625 | Val Acc: 54.0%
Epoch 48 | Loss: 0.4508 | Val Acc: 53.8%
Epoch 49 | Loss: 0.4505 | Val Acc: 55.5%
Epoch 50 | Loss: 0.4534 | Val Acc: 56.5%
Epoch 51 | Loss: 0.4474 | Val Acc: 57.0%
Epoch 52 | Loss: 0.4187 | Val Acc: 51.7%
Epoch 53 | Loss: 0.4311 | Val Acc: 56.8%
Epoch 54 | Loss: 0.4078 | Val Acc: 58.5%
Epoch 55 | Loss: 0.3944 | Val Acc: 58.5%
Epoch 56 | Loss: 0.3979 | Val Acc: 59.5%
Epoch 57 | Loss: 0.3815 | Val Acc: 55.5%
Epoch 58 | Loss: 0.3879 | Val Acc: 57.2%
Epoch 59 | Loss: 0.3708 | Val Acc: 57.5%
Epoch 60 | Loss: 0.3643 | Val Acc: 58.0%
Epoch 61 | Loss: 0.3666 | Val Acc: 59.0%
Epoch 62 | Loss: 0.3566 | Val Acc: 59.5%
Epoch 63 | Loss: 0.3521 | Val Acc: 59.5%
Epoch 64 | Loss: 0.3389 | Val Acc: 62.5%
Epoch 65 | Loss: 0.3395 | Val Acc: 61.3%
Epoch 66 | Loss: 0.3098 | Val Acc: 60.0%
Epoch 67 | Loss: 0.3408 | Val Acc: 62.7%
Epoch 68 | Loss: 0.3394 | Val Acc: 58.8%
Epoch 69 | Loss: 0.3288 | Val Acc: 61.3%
Epoch 70 | Loss: 0.2866 | Val Acc: 62.3%
Epoch 71 | Loss: 0.3080 | Val Acc: 60.2%
Epoch 72 | Loss: 0.3022 | Val Acc: 62.3%
Epoch 73 | Loss: 0.2961 | Val Acc: 62.3%
Epoch 74 | Loss: 0.2816 | Val Acc: 60.2%
Epoch 75 | Loss: 0.2915 | Val Acc: 58.0%
Epoch 76 | Loss: 0.2906 | Val Acc: 63.7%
Epoch 77 | Loss: 0.2733 | Val Acc: 61.8%
Epoch 78 | Loss: 0.2500 | Val Acc: 62.3%
Epoch 79 | Loss: 0.2627 | Val Acc: 63.2%
Epoch 80 | Loss: 0.2398 | Val Acc: 63.2%
Epoch 81 | Loss: 0.2626 | Val Acc: 64.0%
Epoch 82 | Loss: 0.2466 | Val Acc: 62.7%
Epoch 83 | Loss: 0.2720 | Val Acc: 61.5%
Epoch 84 | Loss: 0.2650 | Val Acc: 61.0%
Epoch 85 | Loss: 0.2427 | Val Acc: 61.3%
Epoch 86 | Loss: 0.2381 | Val Acc: 61.8%
Epoch 87 | Loss: 0.2328 | Val Acc: 59.8%
Epoch 88 | Loss: 0.2380 | Val Acc: 61.0%
Epoch 89 | Loss: 0.2173 | Val Acc: 58.0%
Epoch 90 | Loss: 0.2110 | Val Acc: 59.2%
Epoch 91 | Loss: 0.2261 | Val Acc: 60.0%
Epoch 92 | Loss: 0.2346 | Val Acc: 63.7%
Epoch 93 | Loss: 0.2123 | Val Acc: 63.7%
Epoch 94 | Loss: 0.2176 | Val Acc: 63.2%
Epoch 95 | Loss: 0.2123 | Val Acc: 62.5%
Epoch 96 | Loss: 0.1993 | Val Acc: 61.8%
Epoch 97 | Loss: 0.2073 | Val Acc: 63.0%
Epoch 98 | Loss: 0.1949 | Val Acc: 65.5%
Epoch 99 | Loss: 0.1670 | Val Acc: 59.5%
Epoch 100 | Loss: 0.2032 | Val Acc: 63.2%

--- Training Model: Model B (Symbolic) (gamma=0.5) ---
Epoch 1 | Loss: 1.1304 | Val Acc: 51.0%
Epoch 2 | Loss: 0.7357 | Val Acc: 49.0%
Epoch 3 | Loss: 0.7172 | Val Acc: 51.0%
Epoch 4 | Loss: 0.7109 | Val Acc: 51.0%
Epoch 5 | Loss: 0.7034 | Val Acc: 51.0%
Epoch 6 | Loss: 0.7021 | Val Acc: 49.0%
Epoch 7 | Loss: 0.7001 | Val Acc: 51.0%
Epoch 8 | Loss: 0.6987 | Val Acc: 49.0%
Epoch 9 | Loss: 0.6976 | Val Acc: 51.2%
